2021-01-01	KR OTOMATIS 01/01/2021 23:07/1 FLAZZ 885023100201  PALIMANAN 20210101EPJ0701004  2301143201  	10044500
2021-01-01	KR OTOMATIS 01/01/2021 23:07/1 FLAZZ 885023100199  KERTAJATI 20210101EPJ0974106  0401143301  	2492000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0974204  2101223202  	3892500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0705804  2501223202  	1998000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0804400  0199060002  	202000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0857300  0504060002  	3620000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0700804  1901223102  	28423000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0616504  2301223102  	5117500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0427000  0991140002  	860500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0427000  0990060002  	2906500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817100  0702060002  	2259000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0113004  1501223102  	15869500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817400  0044140002  	1999000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0424400  0119060002  	354000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0804400  0200140002  	2465000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0803600  0033140002  	6924500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0257000  0523060002  	1565500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0857900  0759060002  	2359500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100196  KALIJATI 20210101EPJ0699409  0201223302  	3048500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0807000  0473060002  	3370000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817300  0024060002  	7160500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000500134  Cikampek 20210101EPJ5190300  0711140002  	35000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100199  KERTAJATI 20210101EPJ0974106  0401223202  	3679500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100200  SUMBERJAYA 20210101EPJ0973405  0801223202  	2521500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100199  KERTAJATI 20210101EPJ0705306  0201223202  	383500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817200  0728060002  	1316000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0804100  0502060002  	20803500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0803600  0032060002  	537500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100198  CIKEDUNG 20210101EPJ0972807  0201223302  	1168500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817400  0043060002  	4991500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0257000  0524140002  	9511000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0706004  1701223202  	35260500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100196  KALIJATI 20210101EPJ0698109  0201223302  	75000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100196  KALIJATI 20210101EPJ0698609  0401223302  	2639000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817100  0703140002  	20439000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0854500  0984140002  	5276000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0804100  0503140002  	34425000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100199  KERTAJATI 20210101EPJ0701106  0401223202  	295000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0817300  0025140002  	25260000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100198  CIKEDUNG 20210101EPJ0946207  0401223302  	1451500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100200  SUMBERJAYA 20210101EPJ0364805  1001223202  	218000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0701004  2301223202  	9910000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0857300  0505140002  	22731000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0923804  1901223202  	2181000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0807000  0474140002  	2872500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000500134  Cikampek 20210101EPJ0545500  0692140002  	25000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0617800  0345140002  	31098500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100197  SUBANG 20210101EPJ0698008  0201223302  	5157000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0424000  0630060002  	2112500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0703704  3301223202  	465500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/1 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0257100  0683060002  	11943500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100199  KERTAJATI 20210101EPJ0365406  0201223202  	8422000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0857900  0760140002  	12175000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0702704  2101223202  	19596500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100201  PALIMANAN 20210101EPJ0702604  2501223202  	4813000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100200  SUMBERJAYA 20210101EPJ0973905  0801223202  	293500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0424400  0120140002  	1279000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100197  SUBANG 20210101EPJ0700208  0601223302  	301000
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0244700  0134140002  	33868500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0257100  0684140002  	27241500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885000803566  Cikampek Utama 2 20210101EPJ0818000  0788140002  	1169500
2021-01-01	KR OTOMATIS 02/01/2021 07:07/2 FLAZZ 885023100200  SUMBERJAYA 20210101EPJ0614505  1001223202  	1231000
